Rank,Year,Title,Journal,Authors,Citations,DOI,Population Hits,Intervention Hits,Outcome Hits,Score,Decision
1,2012,Multivalent glycoconjugates as anti-pathogenic agents,Chemical Society Reviews,"Anna Bernardi, Jesús Jiménez‐Barbero, Alessandro Casnati et al.",531,10.1039/c2cs35408j,glycoconjugate; glycan,,OPA; immune response,0.45,uncertain
2,2006,The Role of Protein Glycosylation in Allergy,International Archives of Allergy and Immunology,Friedrich Altmann,383,10.1159/000096114,glycan,epitope; carbohydrate epitope,IgG,0.425,uncertain
3,2019,Protein Glycosylation and Tumor Microenvironment Alterations Driving Cancer Hallmarks,Frontiers in Oncology,"Andreia Peixoto, Marta Relvas‐Santos, Rita Azevedo et al.",327,10.3389/fonc.2019.00380,glycoconjugate; glycan,epitope; SAR,,0.4,uncertain
4,2013,Masquerading microbial pathogens: capsular polysaccharides mimic host-tissue molecules,FEMS Microbiology Reviews,"Brady F. Cress, Jacob A. Englaender, Wenqin He et al.",269,10.1111/1574-6976.12056,capsular polysaccharide; glycan,,efficacy; immune response,0.45,uncertain
5,2018,Glycoconjugate vaccines: Principles and mechanisms,Science Translational Medicine,Rino Rappuoli,248,10.1126/scitranslmed.aat4615,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; SAR,antibody titer; affinity maturation,0.75,include
6,2023,Urinary Tract Infections Caused by Uropathogenic Escherichia coli: Mechanisms of Infection and Treatment Options,International Journal of Molecular Sciences,"Yang Zhou, Zuying Zhou, Lin Zheng et al.",217,10.3390/ijms241310537,,,OPA; efficacy,0.4,uncertain
7,2021,Discovery of Semi- and Fully-Synthetic Carbohydrate Vaccines Against Bacterial Infections Using a Medicinal Chemistry Ap,Chemical Reviews,Peter H. Seeberger,189,10.1021/acs.chemrev.0c01210,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; glycan epitope,immune response,0.775,include
8,2005,Vaccines based on the cell surface carbohydrates of pathogenic bacteria,Anais da Academia Brasileira de Ciências,Christopher Jones,180,10.1590/s0001-37652005000200009,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,immune response,0.575,include
9,2013,Role of<i>Campylobacter jejuni</i>Infection in the Pathogenesis of Guillain-Barré Syndrome: An Update,BioMed Research International,"Kishan Kumar Nyati, Roopanshi Nyati",170,10.1155/2013/852195,,epitope,IgG; immune response,0.425,uncertain
10,2019,The Development of a Vaccine Against Meningococcus B Using Reverse Vaccinology,Frontiers in Immunology,"Vega Masignani, Mariagrazia Pizza, E. Richard Moxon",155,10.3389/fimmu.2019.00751,,,immunogenicity; bactericidal; immune response,0.4,uncertain
